greeninnovation,integrity,quality,respect,teamwork,document_length,Doc_ID
27,35,35,12,4,2144,1743-19/6/2008
47,30,24,8,12,2155,1743-20/6/2008
39,35,16,13,3,2269,1743-23/7/2008
41,33,34,10,10,2232,1743-23/10/2008
46,33,31,14,3,2300,1743-29/1/2009
41,23,60,15,5,2275,1743-29/4/2009
37,30,42,15,9,1988,1743-17/8/2009
49,41,40,37,13,2304,1743-3/11/2009
32,36,59,18,1,1729,1743-2/2/2010
53,36,40,17,9,2175,1743-28/4/2010
48,44,39,14,12,1895,1743-22/7/2010
50,29,51,15,12,2189,1743-4/11/2010
34,28,30,14,11,1466,1743-4/2/2011
21,25,25,5,3,1724,1743-25/4/2011
49,14,31,9,4,2040,1743-19/5/2011
13,18,22,8,6,1353,1743-3/8/2011
60,48,60,29,10,1844,1743-22/10/2011
7,4,7,1,1,335,1743-25/10/2011
40,39,42,12,10,1705,1743-28/10/2011
38,42,17,10,5,1742,1743-28/1/2012
68,75,56,50,13,2109,1743-19/3/2012
41,48,50,8,16,1769,1743-27/4/2012
55,55,18,11,9,1825,1743-23/5/2012
81,40,110,28,34,2214,1743-18/6/2012
25,36,21,13,10,2152,1743-1/8/2012
71,21,36,8,12,2182,1743-2/11/2012
37,41,34,17,13,2236,1743-31/1/2013
32,16,22,27,7,867,1743-30/4/2013
34,3,17,7,2,1011,1743-9/8/2013
29,18,35,15,5,743,1743-11/11/2013
56,38,27,5,5,2149,1743-31/1/2014
60,36,26,18,11,1824,1743-2/5/2014
8,13,5,0,3,346,1743-21/5/2014
12,13,7,2,1,512,1743-9/6/2014
68,42,41,41,6,2164,1743-1/8/2014
70,47,61,27,14,2145,1743-5/11/2014
86,44,72,33,17,2247,1743-4/2/2015
30,36,44,10,4,1620,1743-4/5/2015
87,42,108,37,21,1805,1743-3/6/2015
53,31,47,12,14,2201,1743-4/8/2015
23,47,56,18,16,1495,1743-17/9/2015
65,26,61,16,10,2187,1743-30/10/2015
78,9,36,16,9,2243,1743-4/2/2016
81,28,54,16,23,2164,1743-29/4/2016
75,40,99,17,20,1840,1743-18/5/2016
97,46,138,34,19,1909,1743-10/6/2016
56,38,32,19,18,2172,1743-30/7/2016
52,63,65,19,12,1391,1743-16/9/2016
62,48,42,20,19,2147,1743-7/11/2016
65,30,40,11,8,2202,1743-11/2/2017
52,48,69,17,15,2180,1743-9/5/2017
99,56,136,33,12,2203,1743-15/6/2017
64,36,49,14,17,2132,1743-31/7/2017
46,11,32,19,15,1783,1743-31/1/2018
